original,duplicate,label,hash_distance
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_105.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_36.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_40.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_50.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_43.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_51.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_24.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_52.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_138.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_54.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_18.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_57.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_46.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_62.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_40.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_79.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_19.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_80.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_12.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_82.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_7.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_84.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_66.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_85.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_0.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_86.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_124.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_89.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_146.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_90.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_146.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_91.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_130.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_99.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_102.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_129.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_116.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_137.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_12.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_14.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_133.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_145.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_125.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_25.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_34.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_44.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_39.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_48.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_42.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_50.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_15.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_6.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_11.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_61.jpg,Eggs,2
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_12.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_69.jpg,Eggs,4
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_127.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_70.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_72.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_75.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_39.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_79.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_10.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Eggs_96.jpg,Eggs,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_1.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_3.jpg,Milk,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_17.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_38.jpg,Milk,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_21.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_39.jpg,Milk,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_111.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_45.jpg,Milk,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_24.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_52.jpg,Milk,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_48.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_83.jpg,Milk,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_6.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_90.jpg,Milk,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_41.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Milk_94.jpg,Milk,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_0.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_114.jpg,Potato,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_116.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_117.jpg,Potato,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_121.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_133.jpg,Potato,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_128.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_146.jpg,Potato,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_120.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_34.jpg,Potato,2
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_138.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_73.jpg,Potato,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_126.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Potato_81.jpg,Potato,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_113.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_114.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_113.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_115.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_116.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_147.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_125.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_148.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_129.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_149.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_124.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_27.jpg,Spinach,4
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_26.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_31.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_26.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_43.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_19.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_45.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_33.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_47.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_37.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_48.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_35.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_60.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_37.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_61.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_46.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_62.jpg,Spinach,2
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_29.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_63.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_116.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Spinach_91.jpg,Spinach,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Tomato_113.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Tomato_124.jpg,Tomato,0
